s1,s2,s3,s4,s5,s6
18,74.5,79.8,56.4,93.5,88.2
19,75.7,79.7,56.5,93.6,90.4
19.8,76.6,79.7,56.7,93.6,91.9
21.7,77.5,80,56.9,93.5,92.7
24.2,78.5,80.1,57.2,93.4,92.8
26.9,79.6,80.2,57.3,93.3,92.1
30.8,80.7,80.4,57.5,93.4,91.8
35.1,82,80.7,57.8,93.2,91.6
39.8,83.3,81,58.1,93.2,91.5
43.8,85,81.3,58.3,93,91.4
46.8,86.2,81.6,58.6,93,90.3
48.6,86.6,82.1,59,93,88.7
49.7,86.2,82.4,59.2,92.7,88.3
49.9,85.4,82.6,59.4,92.3,87.9
49.3,84.8,82.9,59.6,92,85.1
48.3,84.1,83.2,59.7,91.8,86.9
46.9,83.6,83.4,59.8,91.7,88.4
45.2,83,83.5,59.9,91.5,89.3
43.6,82.5,83.7,60,91.2,88.8
41.4,82,83.8,60,91,87.7
39.7,81.9,83.9,59.8,90.7,87.6
38.3,81.9,83.9,59.8,90.6,87.8
37.7,82.1,84.1,59.8,90.9,86.5
39.8,82.7,84,60,91,85.7
43.2,83.4,83.9,60.1,91.2,85.9
46.4,83.7,83.8,60.2,91.5,86.2
48.4,83.6,83.6,60.2,91.6,87.1
48.8,82.7,83.4,60.1,91.7,87.6
46.7,80.2,82.9,59.9,91.7,86.8
40.5,74.6,82.3,59.1,91.6,86.5
30.3,63.2,81.5,57.9,91.6,87.4
19.4,45.4,80.5,56,91.4,87.8
12.5,29.4,79.2,54,91,89
8,18.9,77.9,51.5,90.7,90.6
5.1,12.1,76.4,49.1,90,92
3.3,7.8,74,45.9,88.8,90.4
2.1,5,71.6,42.6,87.6,88.8
1.4,3.2,69.4,39.8,86.5,89.1
0.9,2.1,68.1,37.7,85.7,88.3
0.6,1.3,67.8,36.6,85.5,90.1
0.4,0.8,68.8,37.2,85.9,91.2
0.2,0.5,71.1,39.8,87,91.8
6.6,0.8,73.5,42.9,88.1,92.5
14.2,3.9,75.3,45.3,88.6,93.4
16.3,3.5,76.4,46.7,88.6,93.9
13.2,2.2,77,47.1,88.4,93.9
9,1.4,77.4,47.3,88.2,93.9
7.4,0.9,77.8,47.8,88,93.2
8,0.6,78.5,48.5,87.8,92.9
9.5,0.6,79.2,49,87.5,92.8
13.8,1.5,79.9,49.3,87.1,91.9
19.5,5.7,80.6,49.7,87,91.6
30.1,19.4,81.1,50.6,87.4,91.8
42.5,36.4,81.2,51.8,88.3,91.6
53.4,52.3,80.9,53.9,89.4,90.8
61.8,64.4,80.5,55.8,90.3,88.7
67.8,73.6,80.1,57.3,91.1,88.6
71.8,80.1,79.9,58.1,91.7,88.7
74.7,84.9,79.5,58.2,92,89
76.8,88.1,78.9,57.8,92.3,89.1
78.5,90.5,77.5,57.1,92.8,88.9
79.9,92.3,75.4,56.2,93.2,88.8
81.3,93.8,72.8,54.8,93.4,87.9
82.8,127,67.5,51,93.9,86.8
84,158.7,58.6,44.4,94.2,85.1
85,188.8,48.2,37.9,94.5,83
86,216.2,40.5,32.5,94.7,81.8
86.5,237.7,35.3,29,94.8,81
86.8,261.4,33.3,26.7,94.9,80.4
86.7,262.2,32.7,26.8,94.9,80.4
86.3,259.8,34.6,28.3,94.9,81.1
85.8,250.8,38.3,30.6,94.9,82
85,244.5,42.1,33.3,94.8,82.8
84.3,231.2,45.6,35.9,94.8,83.4
83.4,219.8,49.2,38.5,94.9,84.1
82.7,176.1,52.2,40.6,94.9,84.7
82.2,181.6,54.3,42.2,94.9,85
82.1,188,55.4,43.1,95.1,85.1
82.2,190.9,55.6,43.3,95.2,84.9
82.4,191.7,55.1,43.3,95.1,84.6
82.9,192.1,53.6,42.5,95.1,84.4
83,197,52.1,41.5,95.1,83.9
83.1,207.7,50.8,40.6,95.1,83.7
82.9,205.9,50.2,39.9,95,83.5
82.8,217.9,49.9,39.6,95,83.3
82.5,219.9,49.9,39.4,95.1,83.3
82.3,216.6,50.2,39.4,95.1,83.4
82.1,217.9,50.9,40,95.2,83.7
81.6,205.5,53.3,41.1,95.3,84.3
80.2,166.6,57.5,43.1,95.1,85.3
76.8,141,62.5,46.1,95,86.6
72.6,124.4,67.2,49.1,95,87.1
69.1,113.3,70.9,51.4,94.9,87.8
66.6,105.8,73.4,53.2,94.9,87.2
65.3,101.2,75.3,54.4,94.8,87.3
65,98.5,76.1,54.9,94.8,86.9
65.1,96.9,76.9,55,94.7,86.3
65.9,96.2,77.2,55.1,94.6,85.4
66.7,95.8,77.2,55.1,94.6,84.4
67.4,95.8,77.4,55.1,94.5,83.7
67.8,95.7,77.4,55.2,94.6,84.2
68.1,95.5,77.5,55.4,94.6,85.1
68.3,95.4,77.4,55.4,94.6,86
68.4,94.9,77.3,55.5,94.8,86.8
68.2,94.3,77.5,55.7,94.7,87.4
67.9,93.6,77.6,55.9,94.6,87.8
67.4,93.1,77.7,56.1,94.7,88.2
67.1,92.9,77.9,56.4,94.6,88.5
66.7,92.8,78.4,56.8,94.5,89.2
65.7,92.3,79.1,57.1,94.5,89.7
64.3,91.7,79.8,57.5,94.1,90
61.9,90.8,80.8,57.7,93.8,90.2
58.8,90.2,81.8,57.7,93.4,90
55.1,89.9,82.4,57.6,93.2,90
53.1,90.3,83.1,57.5,93.1,90.2
53.4,91.1,83.3,57.2,93,90.4
54.7,91.9,83.3,57.1,93.1,90.5
56.9,93,82.8,56.7,93.2,90.2
59.5,94,81.9,56.6,93.5,90
61.6,94.9,81.3,56.7,93.8,89.7
63.2,95.5,81,56.9,94,89.8
64.2,96.1,80.8,57.1,93.9,90
64.4,96.1,80.6,57.3,94,90.2
63.5,95.5,80.7,57.5,94,90.7
61.3,94.4,80.9,57.7,94,91.3
57.8,93.1,81.2,57.9,94.1,91.8
53.7,91.7,81.5,58.1,93.9,92.1
49.4,89.9,81.6,58,94,92.4
45.4,88.2,81.9,57.9,93.9,92.6
43.5,87.2,82.1,57.8,93.7,92.7
43.2,87,82.3,57.8,93.7,92.4
43.9,87.3,82.4,57.9,93.6,92.1
45.3,87.8,82.7,58.1,93.5,91.7
46.7,88.5,82.8,58.3,93.4,91.2
47.6,89,82.9,58.4,93.5,90.6
47.7,89,83.1,58.6,93.3,90.2
47.3,88.7,83.3,58.7,93.2,89.8
46.1,88.4,83.6,59,93.1,89.8
44.4,87.9,83.8,59.2,92.9,90
43.4,87.8,83.8,59.4,92.6,90.5
45.2,88.2,84,59.4,92.5,90.8
48.6,89,83.7,59.5,92.6,91.1
52.4,89.8,83.5,59.3,92.8,91.1
55.7,90.5,82.9,59.5,93,91.3
58.5,91.1,82.7,59.5,93,91.8
60.2,91.6,82.4,59.6,93,91.6
60.9,91.8,82.5,59.7,93.1,91.6
60.5,91.8,82.6,59.7,93.2,91.8
59.3,91.5,82.6,59.9,93.1,92.1
56.5,91,82.8,59.8,93,92.2
52.8,90.1,82.9,59.7,92.9,92.4
47.2,88.7,83.1,59.2,92.9,92.4
40.8,86.6,83,58.6,92.9,92.5
35.3,84.5,82.9,58,92.9,92.5
