s1,s2,s3,s4,s5,s6
16.1,89,84.8,72.2,94.1,69.2
17.1,89.2,84.8,72.2,94.1,69.2
18.1,89.4,85,72.3,94,68.9
19.1,89.7,85,72.4,93.9,68.6
19.7,89.8,85.1,72.3,94,68.4
20.4,90.1,85.3,72.4,93.9,68.1
21.1,90.4,85.3,72.5,93.9,67.9
21.9,90.7,85.4,72.5,93.7,67.5
22.6,91,85.5,72.6,93.6,67.3
23.2,91.3,85.6,72.6,93.6,67.2
24.1,91.4,85.7,72.7,93.5,67.1
24.8,91.5,85.7,72.8,93.6,67.1
25.4,91.6,85.9,72.8,93.6,67.2
25.9,91.8,85.7,72.8,93.6,67.3
26.6,91.9,85.8,72.9,93.5,67.2
27.3,92,85.8,73,93.4,67.1
28.1,92.3,85.7,72.9,93.4,67
29,92.3,85.8,72.9,93.4,66.9
29.9,92.3,85.9,72.9,93.4,66.7
30.5,92.4,85.9,72.8,93.3,66.6
31.2,92.5,85.8,72.8,93.3,66.3
31.6,92.5,85.7,72.9,93.4,66.3
31.9,92.5,86,73.1,93.2,66.4
32.3,92.5,86,73.1,93.3,66.4
32.5,92.6,86.1,73.2,93.3,66.6
32.6,92.6,86,73.2,93.3,66.6
32.7,92.7,86,73.2,93.2,66.6
32.9,92.7,86.1,73.1,93.3,66.6
33.2,92.6,86.1,73.2,93.2,66.7
33.4,92.6,86.3,73.1,93.4,66.5
33.4,92.5,86.2,73.2,93.4,66.6
33.5,92.6,86.2,73.1,93.4,66.6
33.6,92.5,86.2,73,93.5,66.7
33.4,92.6,86.2,73.1,93.3,66.9
32.9,92.5,86,73,93.4,67
32.6,92.4,86,73.1,93.5,67.1
31.9,92.3,85.9,73.1,93.6,67.2
31,92.1,85.9,73,93.7,67.4
30.1,92.1,85.9,73.1,93.7,67.4
29.4,92.1,85.8,73,93.7,67.5
28.8,91.9,85.8,72.9,93.8,67.6
28.5,91.9,86,72.8,93.8,67.8
28.1,91.6,85.9,72.9,93.9,67.8
27.7,91.4,85.8,73,93.9,67.9
27.4,91.2,85.7,73,94,68
27.4,90.9,85.7,72.9,93.9,68
27.2,90.8,85.5,72.9,94,68.1
27.3,90.7,85.6,72.8,93.9,68.2
27.3,90.8,85.5,72.7,93.8,68.1
27.4,90.7,85.6,72.8,93.9,68
27.6,90.6,85.7,72.8,93.9,68.1
27.8,90.7,85.5,72.7,94,67.9
28.1,90.6,85.5,72.8,93.9,68
28.6,90.7,85.5,72.8,93.9,68.1
29,90.8,85.6,72.9,93.9,68
29.8,90.9,85.8,72.9,94,68
30.6,90.9,85.7,72.9,93.9,68
31.2,91,85.6,72.9,93.9,68
31.5,90.9,85.5,72.9,93.8,67.9
31.7,90.9,85.6,72.8,93.8,67.9
32,90.9,85.7,72.8,94,68
32.2,91,85.6,72.8,94,68
32.3,90.9,85.7,72.8,94,67.9
32.4,91,85.6,72.7,93.9,67.9
32.3,90.9,85.5,72.7,93.8,68
31.9,90.8,85.4,72.8,93.9,68
