s1,s2,s3,s4,s5,s6
81.9,95.9,76.4,75.5,83.3,29.6
82,95.7,76.3,75.6,83.8,30
81.9,95.7,76,75.6,84.2,30.6
81.8,95.6,75.8,75.8,84.7,31.6
81.3,95.7,75.7,76,85.3,34
80.5,95.4,75.4,76.1,86.1,37.1
79.3,95.5,75.2,76.2,86.8,40.2
77,95.5,74.8,76.4,87.4,44.1
74.4,95.6,74.8,76.5,88,47.8
70.3,95.6,74.9,76.4,88.5,51.4
65,95.6,75.1,76.5,88.9,54.3
60.5,95.7,75.4,76.5,89,56.7
56.6,95.8,75.6,76.5,89.2,58.5
52.7,95.8,75.8,76.6,89.2,59.8
49.1,95.8,75.9,76.6,89.2,61.1
46.8,95.8,76.1,76.6,89.2,62
45.4,96,76,76.6,89.2,62.5
44.8,96,76,76.7,89.2,63
45,95.9,76,76.6,89.2,63.3
45.7,95.9,75.9,76.6,89.3,63.5
46.8,95.8,75.8,76.6,89.3,63.6
48.1,95.6,75.6,76.5,89.4,63.7
49.5,95.7,75.2,76.4,89.5,63.6
50.7,95.9,74.8,76.3,89.5,63.5
52,95.9,74.2,76.2,89.6,63.4
52.9,95.8,73.9,76,89.6,63
53.9,95.9,73.4,76,89.5,62.6
54.7,95.7,72.9,75.8,89.5,62.2
55.6,95.7,72.5,75.6,89.6,61.7
56.7,95.7,72.1,75.6,89.6,61.4
57.7,95.5,71.7,75.7,89.6,61.1
59,95.5,71.3,75.7,89.6,60.8
60.3,95.4,70.9,75.7,89.6,60.4
62.3,95.4,70.4,75.6,89.7,59.5
64.4,95.2,70,75.6,89.8,57.9
66.5,95,69.5,75.4,89.8,55.8
68.1,94.7,69.3,75.3,89.8,54.1
69.2,94.6,68.9,75.3,89.9,53
70.1,94.3,68.3,75.1,90.1,52.3
70.8,94.1,68,75,90.2,51.9
71.3,94,67.6,74.9,90.2,51.8
71.9,93.7,67.2,75,90.2,52
72.3,93.6,67,74.9,90.2,52.2
72.4,93.4,66.9,74.9,90.2,52.3
72.6,93.3,66.9,75,90.3,52.8
72.9,93.1,66.8,74.9,90.3,53.2
72.9,93.2,66.7,74.9,90.5,53.7
73,93.2,66.6,74.9,90.5,54.2
73,93.1,66.3,74.8,90.5,55
73,92.9,66,74.8,90.4,56
72.9,92.9,65.5,74.5,90.5,56.9
72.7,92.8,65.1,74.3,90.6,57.6
72.5,92.7,64.7,74.1,90.5,58.6
72.3,92.8,64.5,74.2,90.6,59.6
72.2,92.7,64.4,74.3,90.7,60.5
72,93,64.4,74.4,90.7,61.7
72.2,93,64.5,74.4,90.7,62.7
72.3,93.1,64.9,74.7,90.8,63.5
72.5,93.3,65.2,74.8,90.8,64.4
72.7,93.3,65.8,75.1,90.7,65.2
72.9,93.3,66.7,75.6,90.5,65.8
73,93.5,68.1,76.2,90.4,66.6
73.1,93.6,69.6,76.7,90.2,67.3
73.4,93.8,70.8,77.1,90,67.8
