s1,s2,s3,s4,s5,s6
78.9,106.8,80.7,37.1,92,97.2
78.9,141.7,80.4,36.9,92.1,97.1
78.9,160.7,80.4,36.9,92.2,97.1
78.9,171.1,80.5,37,92.2,97.3
78.8,144.8,80.5,37,92.1,97.3
78.8,158.6,80.6,37.1,92.1,97.2
78.8,136.9,80.7,37.2,91.9,97.1
79.1,153.5,80.8,37.2,91.8,97.1
79,164.2,80.9,37.1,91.8,97
79.2,140.4,80.8,37.2,91.7,97
79.4,158.1,80.8,37.2,91.6,96.7
79.8,172.9,80.6,37.1,91.6,96.7
80.1,179,80.4,37,91.5,96.5
80.3,189.2,80.4,36.9,91.5,96.1
80.7,188.2,80.2,36.6,91.2,95.9
81,192.8,80.1,36.4,91.1,95.7
81.3,198.6,80.3,36.3,91,95.4
81.4,198.3,80.3,36.2,90.9,95.3
81.5,197.6,80.5,36.1,90.8,95.2
81.7,195.4,80.7,35.9,90.9,95.2
81.8,203.7,80.7,35.8,90.8,95
81.7,209.6,80.8,35.8,91,95.1
81.8,215.2,81,35.7,90.9,95.1
81.8,217,81.2,35.8,90.8,95
81.9,215.3,81.5,36,90.7,95
82,213.6,81.8,36.1,90.6,95
82.1,213.1,82,36.2,90.7,94.9
82,209.9,82.1,36.2,90.6,95
81.9,205.6,82.2,36.4,90.6,95
82,207.4,82.2,36.4,90.6,95
82,209.7,82.3,36.6,90.5,95.1
82,208.9,82.2,36.6,90.5,95.1
81.9,207.2,82.3,36.6,90.6,95.1
81.8,203.8,82.1,36.5,90.7,95
81.7,209.2,82,36.5,90.8,95.1
81.6,205.1,81.9,36.5,90.8,95.2
81.5,200.2,81.9,36.5,90.9,95.3
81.4,197.6,81.8,36.6,91,95.3
81.2,196.5,81.9,36.6,91,95.4
81.1,197.6,81.8,36.8,91.1,95.6
80.9,198.8,82,36.9,91.1,95.8
80.8,193.8,82,37.2,91.2,95.9
80.7,159.4,82.1,37.5,91.1,96.2
80.5,169.1,82.3,37.7,91.2,96.3
80.6,143.6,82.7,38,91.1,96.4
80.5,127.2,83,38.4,91.1,96.3
80.5,148.5,83.3,38.8,91,96.3
80.7,130.4,83.4,39.2,90.8,96.3
80.7,118.7,83.6,39.4,90.7,96.3
80.6,111.2,83.7,39.7,90.6,96.4
80.6,106.4,83.9,39.8,90.6,96.3
80.6,103.3,84,40,90.7,96.4
80.6,101.3,84.1,40.2,90.7,96.5
80.5,132.4,84.2,40.2,90.7,96.4
80.7,119.9,84.2,40.3,90.7,96.3
80.6,112,84.3,40.3,90.6,96.3
80.6,106.9,84.4,40.6,90.5,96.4
80.6,103.6,84.4,40.6,90.4,96.3
80.7,101.5,84.4,40.7,90.4,96.3
80.6,100.2,84.3,40.6,90.5,96.4
80.7,99.3,84.4,40.6,90.5,96.4
80.8,98.7,84.4,40.7,90.5,96.3
80.8,98.4,84.4,40.7,90.4,96.3
80.7,98,84.4,40.6,90.5,96.3
80.6,97.9,84.3,40.6,90.5,96.5
80.6,97.7,84.3,40.7,90.6,96.5
80.6,97.6,84.3,40.7,90.6,96.6
80.4,97.6,84.3,40.8,90.6,96.6
80.5,97.6,84.3,40.9,90.6,96.8
80.4,97.6,84.3,41,90.5,96.8
80.3,97.6,84.4,41,90.5,96.8
80.2,97.6,84.3,41.1,90.6,96.6
80.2,97.6,84.3,41,90.6,96.7
80.1,97.5,84.3,40.9,90.7,96.7
80.2,97.5,84.1,40.9,90.7,96.9
80.3,97.5,84.1,40.9,90.7,96.9
80.3,97.6,84.1,40.9,90.7,96.8
80.3,97.5,84.1,40.8,90.8,96.8
80.4,97.6,84.1,40.7,90.8,96.7
80.3,97.6,84.1,40.7,90.7,96.7
80.3,97.7,84.1,40.6,90.8,96.7
80.4,97.5,84.1,40.5,90.6,96.7
80.6,97.5,84,40.5,90.6,96.6
80.5,97.6,84,40.5,90.6,96.8
80.4,97.6,84,40.5,90.7,96.7
80.5,97.6,83.9,40.5,90.8,96.8
80.3,97.6,84,40.5,90.9,96.9
80.3,97.7,84,40.6,91,96.9
80.3,97.7,83.9,40.5,91,96.9
80.2,97.6,83.9,40.5,91,96.8
80.2,97.7,84,40.5,91,96.9
80.1,97.7,84.1,40.6,91,96.9
80.1,97.6,84.1,40.6,91,97
80.1,97.5,84.2,40.8,91,97.1
80,97.6,84.2,40.7,91,97.1
79.9,97.6,84.2,40.7,91,97.2
80,97.4,84.2,40.7,91,97.3
79.9,97.4,84.4,40.9,90.9,97
79.9,97.5,84.3,40.9,90.9,97
79.9,97.4,84.4,40.9,90.6,96.9
80,128.8,84.4,41.1,90.5,96.8
80,117.5,84.4,41,90.6,96.7
79.9,110.5,84.3,41.1,90.7,96.7
79.9,105.9,84.3,41,90.7,96.9
80,102.9,84.3,41.1,90.7,97
79.9,101,84.4,41.1,90.7,97.1
80,99.7,84.4,41.1,90.7,97.2
80,99,84.3,41.1,90.7,97
80.1,98.5,84.3,41.1,90.6,96.9
80.2,98.2,84.4,41,90.7,96.8
80.2,97.9,84.4,41,90.6,96.8
80.3,97.7,84.4,41,90.7,96.7
80.3,97.6,84.4,41,90.8,96.6
80.2,97.6,84.3,41,90.8,96.7
80.2,97.6,84.2,40.9,90.8,96.8
80.1,97.6,84.2,40.8,90.9,96.8
80.1,97.6,83.9,40.7,91,96.6
80.2,97.5,83.7,40.5,91.1,96.6
80.4,97.5,83.5,40.1,91.1,96.6
80.4,97.5,83.2,39.9,91.3,96.4
80.3,97.5,82.9,39.7,91.3,96.4
80.4,97.5,82.9,39.6,91.4,96.5
80.5,97.5,83,39.6,91.5,96.5
80.5,97.5,83,39.5,91.6,96.6
80.4,97.5,82.9,39.5,91.6,96.5
80.3,128.3,82.9,39.7,91.5,96.7
80.3,117.3,82.9,39.7,91.6,96.8
80.3,110.1,82.9,39.7,91.6,96.9
80.3,105.6,82.8,39.7,91.6,96.9
80.2,102.7,82.7,39.7,91.6,96.9
80.1,100.9,82.5,39.6,91.8,97
80,99.7,82.2,39.5,91.7,97.1
79.8,98.8,82,39.5,91.9,97.1
79.8,98.3,81.9,39.3,91.8,97.2
79.6,98,81.8,39.3,91.9,97.3
79.5,97.7,81.8,39.2,91.9,97.3
79.4,97.6,81.8,39.3,91.9,97.4
79.3,97.6,82,39.2,91.9,97.3
79.2,97.6,82,39.4,92,97.4
