s1,s2,s3,s4,s5,s6
75,93.8,78.4,70.9,90.8,89.5
74.5,93.2,80.8,71.5,90.2,90.1
74.1,93.7,80.6,72,90.3,89.9
76.4,94.2,79,72,89.9,88.5
78.5,94.2,77.8,71.2,89.3,85.5
79.1,95.2,75.8,71.4,89.4,84.2
80.3,95.2,62.6,69.1,88.8,78.7
80.7,95.1,56.1,67.9,87.8,75.8
80.8,95.5,46.1,66.5,87.8,74.2
79.6,95.5,32.5,65.1,88.4,72.3
79.3,95.3,19.3,63.8,88.6,71.1
78.7,95.3,22.5,64.5,89,76.1
78.5,94.9,30.7,66.1,89.7,78.7
77.9,94.9,26.7,65.6,89.7,79.3
77.4,94.7,39.9,66.1,89.5,80.7
76.5,94.5,57.2,67.5,89.7,85.1
75.9,94.3,65.8,68.8,90.3,85.7
75.7,93.9,66.3,68.1,90.6,86
75,93.9,63.5,67.3,90.8,85.2
74,93.8,59.1,66.5,91,85.4
73.4,93.7,58.1,66.1,91.2,85.1
72.1,93.4,53.6,65.6,91.1,84.9
70.7,93.7,30.2,63.9,91.5,83.4
69.5,93.6,24.2,62,91.8,80.5
66.9,93.5,31.1,61.3,92,80.1
66.4,93.5,34.7,61.3,91.6,81.7
69.2,93.7,45.8,62.9,91.6,84.7
69.4,93.5,54,64.7,91.5,85.1
68.8,93.5,73.6,66.9,91.2,86.6
66.8,93.4,79.1,67.9,90.6,87.8
65.9,93.2,80.5,69.2,90.6,87.9
67.2,93.5,77.5,69,91,87.7
67.9,93.6,77.5,68.9,90.9,88
68.5,93.6,75.8,69.3,91.1,87.8
70,93.6,72.7,69.3,91,87.2
71.2,93.3,69,69,90.7,86
72.4,93.6,61.4,68.1,90.7,85.3
73.1,93.8,56.1,66.6,90.8,84.1
73.5,94.1,58.6,66.3,90.6,84
73.6,94,63,66.9,90.7,84.6
73.8,94,63.3,66.7,90.4,85.1
73.9,93.9,64.9,67.4,90.5,84.8
74.6,94.1,65.1,67.6,90.2,84.7
74.9,94.4,65.4,67.6,90.1,84.4
75.5,94.3,66.4,68,89.8,84.6
76.1,93.9,69.5,68.9,89.7,84.6
76.7,94.4,70.5,69.1,89.7,84.9
76.3,93.7,76.1,70.5,89.8,85.1
75.7,94,76.3,70.6,90,85.6
74.9,93.9,77,70.8,90.1,86.8
72.8,93.8,77,70.6,90.6,88.2
70.3,92.9,76.5,71,90.8,89.1
64.9,93,76.5,71,91.2,89.6
62.6,92.6,76.2,71,91.1,89.7
61.7,92.3,76.8,71.4,91.1,90.4
61.9,92.4,77,71.6,90.6,90.3
